Cd,Cu,Pb,Zn,Alkal,BOD,COD,Fecal_Col,Hardness,NO2,NO3,TDS,TSS,TKN,Total_P,Temp,DO,DO%,pH,Turb,Cond,Level,Flow,WQI
0.0002,0.018,0.003,0.019,60.5,2,11,360,36,0.255,0.01,152,3,0.566,0.038,16.63,13.54,139.2,7.39,4.13,359,2.12,3.4,77.24
0.0002,0.002,0.003,0.013,58.3,2,15,360,33,0.236,0.012,126,3,0.554,0.051,15.75,13.01,131.2,7.67,4.6,306,0.99,2.6,77.47
0.0002,0.009,0.003,0.016,57.2,2,13,320,31,0.221,0.014,129,6,0.555,0.032,17.02,12.54,129.9,7.48,11,286,0.72,1.9,77.45
0.0002,0.003,0.003,0.03,60.5,6.57,12,420,32,0.226,0.016,138,7,0.578,0.046,14.78,12.66,125,6.44,12.3,321,1.84,2.8,68.27
0.0002,0.002,0.003,0.017,73.4,2,13,280,36,0.256,0.013,159,5,0.513,0.035,13.87,12.77,123.7,6.98,10.4,349,1.07,0.97,78.22
0.0002,0.002,0.003,0.018,112,2,10,1040,64,0.353,0.019,231,2,0.371,0.082,13.91,13.19,128,7.19,3.71,619,,,74.57
0.0002,0.004,0.003,0.028,58.3,2,14,540,36,0.208,0.02,135,8,0.46,0.039,14.39,13.26,129.9,7.45,15.4,294,2.9,6.5,74.91
0.0002,0.003,0.003,0.025,62.6,2,29,124,39,0.209,0.019,155,3,0.632,0.041,15.94,10.66,108,7.34,4.26,360,,,82.51
0.0002,0.002,0.003,0.013,36.7,2,12,24,18,0.076,0.011,92,2,0.258,0.012,14.58,10.36,101.9,6.6,5.76,201,0.83,13,84.93
0.0002,0.002,0.003,0.025,44.3,2,12,48,21,0.077,0.012,105,3,0.286,0.021,13.32,10.41,99.5,7.2,4.21,221,,,85.67
0.0002,0.002,0.003,0.034,51.8,2,12,72,26,0.151,0.014,108,5,0.456,0.025,14.59,10.95,107.7,7.39,8.45,236,1.96,6.2,83.1
0.0002,0.002,0.003,0.015,32.4,2,9,84,16,0.071,0.012,98,6,0.419,0.016,12.59,11.18,105.2,7.34,7.92,194,3.42,9.2,83.38
0.0002,0.002,0.003,0.012,47.5,2,14,116,26,0.067,0.016,113,6,0.481,0.021,14.51,10.67,104.8,6.97,13.5,242,2.35,1.3,81.13
0.0002,0.002,0.003,0.02,67,2,5,40,35,0.26,0.013,133,6,0.487,0.018,13.79,10.82,104.6,7.5,7.9,329,,,84.56
0.0002,0.002,0.003,0.014,49.7,2,23,49,24,0.077,0.022,131,7,0.1,0.039,16.16,10.54,107.2,7.38,9.82,285,,,83.87
0.0002,0.004,0.003,0.02,71.3,2,13,24,36,0.221,0.023,155,4,0.621,0.044,15.02,11.05,109.7,7.54,7.53,130,,,84.87
0.0002,0.004,0.003,0.027,46.4,3.01,42,8400,57,2.73,0.029,126,13,1.4,0.152,21.13,12.12,136.4,7.24,18.1,378,2.43,49,61.5
0.0002,0.004,0.003,0.013,64.8,2,20,6000,74,0.628,0.018,128,5,0.661,0.052,20.38,13.43,148.9,7.69,9.97,395,,,45.4
0.0002,0.002,0.003,0.008,34.6,4.03,41,11000,37,0.251,0.015,65,13,0.692,0.044,22.65,14.74,170.7,7.38,19.1,195,,,42
0.0002,0.004,0.003,0.008,47.5,2,15,4800,54,0.447,0.016,98,11,0.541,0.057,20.97,13.6,152.5,7.44,12.8,299,2.94,33,45.69
0.0002,0.003,0.003,0.007,40,2,15,3800,44,0.448,0.017,84,10,0.792,0.047,20.88,13.81,154.6,7.42,12,248,1.38,16,46.63
0.0002,0.006,0.003,0.038,44.3,2,20,12000,46,0.314,0.013,102,76,0.88,0.089,20.71,14.39,160.6,7.54,68.7,248,1.29,20,39.83
0.0002,0.005,0.003,0.005,37.8,3.06,15,4000,45,0.318,0.01,94,31,0.981,0.086,20.4,10.08,111.8,6.41,55.6,222,2.29,16,62.77
0.0002,0.003,0.003,0.005,37.8,2.96,23,4800,39,0.137,0.01,85,23,0.981,0.085,20.54,11.57,128.7,6.94,36.9,204,1.17,2.3,65
0.0002,0.003,0.004,0.01,81,2,16,5000,94,0.481,0.018,173,14,0.753,0.104,20.1,10.98,121.2,7.23,15.1,517,,,68.85
0.0002,0.004,0.003,0.007,43.2,2.61,9,5000,49,0.295,0.014,99,25,0.769,0.111,20.49,11.94,132.7,7.54,36,258,3.44,4.1,64.75
0.0002,0.004,0.003,0.012,46.4,2.43,13,4600,54,0.427,0.018,95,9,0.781,0.06,21.36,13.27,150,7.54,14.3,285,,,45.27
0.0002,0.002,0.003,0.005,24.8,2.71,14,820,30,0.05,0.018,54,28,0.653,0.03,23.02,13.17,153.7,6.29,14.1,164,3.77,692,46.81
